_ - name,rank,enlabel,gov identfier,award,_ - external_url
DAVID MANLUN,,David Manlun,david-manlun,Kirti Chakra,http://gallantryawards.gov.in/Awardee/david-manlun
DEV RAJ SINGH,,Dev Raj Singh,dev-raj-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/dev-raj-singh
DEV RAJ SINGH,,Dev Raj Singh,dev-raj-singh-0,Kirti Chakra,http://gallantryawards.gov.in/Awardee/dev-raj-singh-0
DHIRENDRA NATH PRATAP SINGH,,Dhirendra Nath Pratap Singh,dhirendra-nath-pratap-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/dhirendra-nath-pratap-singh
DME LATE NARESH KUMAR,Dme Late ,Naresh Kumar,late-naresh-kumar,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-naresh-kumar
DYANAND PANDEY,,Dyanand Pandey,dyanand-pandey,Kirti Chakra,http://gallantryawards.gov.in/Awardee/dyanand-pandey
EE (CIV) LATE SHIV KUMAR YADAV,Ee (civ) Late ,Shiv Kumar Yadav,late-shiv-kumar-yadav,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-shiv-kumar-yadav
EE (CIV) M N SINGH,Ee (civ) ,M N Singh,m-n-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/m-n-singh
FLIGHT LIEUTENANT ANIL KUMAR MATHUR,Flight Lieutenant ,Anil Kumar Mathur,flight-lieutenant-anil-kumar-mathur,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-anil-kumar-mathur
FLIGHT LIEUTENANT JAGANNATH VIJAYARAGHAVAN,Flight Lieutenant ,Jagannath Vijayaraghavan,flight-lieutenant-jagannath-vijayaraghavan,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-jagannath-vijayaraghavan
FLIGHT LIEUTENANT KARAN SHER SINGH KALSIA,Flight Lieutenant ,Karan Sher Singh Kalsia,flight-lieutenant-karan-sher-singh-kalsia,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-karan-sher-singh-kalsia
FLIGHT LIEUTENANT MADHUSUDAN RAY,Flight Lieutenant ,Madhusudan Ray,flight-lieutenant-madhusudan-ray,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-madhusudan-ray
FLIGHT LIEUTENANT MYSORE KRISHNASWAMY RAMA PRASAD,Flight Lieutenant ,Mysore Krishnaswamy Rama Prasad,flight-lieutenant-mysore-krishnaswamy-rama-prasad,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-mysore-krishnaswamy-rama-prasad
FLIGHT LIEUTENANT SANKARA IYER CHANDRASEKHAR,Flight Lieutenant ,Sankara Iyer Chandrasekhar,flight-lieutenant-sankara-iyer-chandrasekhar,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-sankara-iyer-chandrasekhar
FLIGHT SERGEANT O. SUNDARESSIYA,Flight Sergeant ,O. Sundaressiya,flight-sergeant-o-sundaressiya,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flight-sergeant-o-sundaressiya
FLT LT BALKRISHAN DESOARES,Flt Lt Balkrishan Desoares,Balkrishan oares,flt-lt-balkrishan-desoares,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flt-lt-balkrishan-desoares
FLT LT RAIZADA HARBANS CHAWDHRY,Flt Lt ,Raizada Harbans Chawdhry,flt-lt-raizada-harbans-chawdhry,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flt-lt-raizada-harbans-chawdhry
FLT LT RAJ KUMAR MEHTA,Flt Lt ,Raj Kumar Mehta,flt-lt-raj-kumar-mehta,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flt-lt-raj-kumar-mehta
FLT LT ULRICH ANTHONY D’CRUZ,Flt Lt ,Ulrich Anthony D’cruz,flt-lt-ulrich-anthony-d%E2%80%99cruz,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flt-lt-ulrich-anthony-d%E2%80%99cruz
FLYING OFFICER VAIDYANATHAN GANESAN,Flying Officer ,Vaidyanathan Ganesan,flying-officer-vaidyanathan-ganesan,Kirti Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-vaidyanathan-ganesan
GDR BAJRANG SINGH,Gdr ,Bajrang Singh,bajrang-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/bajrang-singh
GDR GOPAL SINGH,Gdr ,Gopal Singh,gopal-singh-4,Kirti Chakra,http://gallantryawards.gov.in/Awardee/gopal-singh-4
GDRS ANIL KUMAR,Gdrs Anil Kumar,S Anil Kumar,anil-kumar-3,Kirti Chakra,http://gallantryawards.gov.in/Awardee/anil-kumar-3
GEETA CHOPRA,,Geeta Chopra,geeta-chopra,Kirti Chakra,http://gallantryawards.gov.in/Awardee/geeta-chopra
GHAN SHYAM,,Ghan Shyam,ghan-shyam,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ghan-shyam
GHANSHYAM,,Ghanshyam,ghanshyam,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ghanshyam
GHULAM NABI MAGREY,,Ghulam Nabi Magrey,ghulam-nabi-magrey,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ghulam-nabi-magrey
GIRISH GURUNG,,Girish Gurung,girish-gurung,Kirti Chakra,http://gallantryawards.gov.in/Awardee/girish-gurung
GLORIA BERRY,,Gloria Berry,gloria-berry,Kirti Chakra,http://gallantryawards.gov.in/Awardee/gloria-berry
GOPI,,Gopi,gopi,Kirti Chakra,http://gallantryawards.gov.in/Awardee/gopi
GROUP CAPTAIN DENZIL KEELOR VrC,Group Captain or Vrc,Denzil Keelor,group-captain-denzil-keelor-vrc,Kirti Chakra,http://gallantryawards.gov.in/Awardee/group-captain-denzil-keelor-vrc
"GUR IQBAL SINGH, PO TAS",", Po Tas",Gur Iqbal Singh,gur-iqbal-singh-po-tas,Kirti Chakra,http://gallantryawards.gov.in/Awardee/gur-iqbal-singh-po-tas
HANUMANT SINGH,,Hanumant Singh,hanumant-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/hanumant-singh
HARA LAL SIL,,Hara Lal Sil,hara-lal-sil,Kirti Chakra,http://gallantryawards.gov.in/Awardee/hara-lal-sil
HARAK SINGH KARAM SINGH,,Harak Singh Karam Singh,harak-singh-karam-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/harak-singh-karam-singh
HARAN CHANDRA MISRA,,Haran Chandra Misra,haran-chandra-misra,Kirti Chakra,http://gallantryawards.gov.in/Awardee/haran-chandra-misra
HASMUKH BADRIPRASAD SHAH,,Hasmukh Badriprasad Shah,hasmukh-badriprasad-shah,Kirti Chakra,http://gallantryawards.gov.in/Awardee/hasmukh-badriprasad-shah
HAV A SOMIAH,Hav ,A Somiah,somiah,Kirti Chakra,http://gallantryawards.gov.in/Awardee/somiah
HAV Amar Singh,Hav ,Amar Singh,amar-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/amar-singh
HAV AMAR SINGH,Hav ,Amar Singh,amar-singh-5,Kirti Chakra,http://gallantryawards.gov.in/Awardee/amar-singh-5
HAV BADRI LAL LUNAWAT,Hav ,Badri Lal Lunawat,badri-lal-lunawat,Kirti Chakra,http://gallantryawards.gov.in/Awardee/badri-lal-lunawat
HAV CHANDER PAL THAKUR,Hav ,Chander Pal Thakur,chander-pal-thakur,Kirti Chakra,http://gallantryawards.gov.in/Awardee/chander-pal-thakur
HAV DHANARAJ MUTHAPPAN,Hav ,Dhanaraj Muthappan,dhanaraj-muthappan,Kirti Chakra,http://gallantryawards.gov.in/Awardee/dhanaraj-muthappan
HAV INDRA BAHADUR GURUNG,Hav ,Indra Bahadur Gurung,indra-bahadur-gurung,Kirti Chakra,http://gallantryawards.gov.in/Awardee/indra-bahadur-gurung
"HAV JOGENDRA SINGH SEN, VrC","Hav , Vrc",Jogendra Singh Sen,jogendra-singh-sen-vrc,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jogendra-singh-sen-vrc
HAV LASHKAR SINGH,Hav ,Lashkar Singh,lashkar-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/lashkar-singh
HAV MADAN SARUP,Hav ,Madan Sarup,madan-sarup,Kirti Chakra,http://gallantryawards.gov.in/Awardee/madan-sarup
HAV MANJIT SINGH,Hav ,Manjit Singh,manjit-singh-1,Kirti Chakra,http://gallantryawards.gov.in/Awardee/manjit-singh-1
HAV PREM NATH RAI,Hav ,Prem Nath Rai,prem-nath-rai,Kirti Chakra,http://gallantryawards.gov.in/Awardee/prem-nath-rai
HAV RAKSH PAUL,Hav ,Raksh Paul,raksh-paul,Kirti Chakra,http://gallantryawards.gov.in/Awardee/raksh-paul
HAV RALE SANTOSH TANAJI,Hav ,Rale Santosh Tanaji,rale-santosh-tanaji,Kirti Chakra,http://gallantryawards.gov.in/Awardee/rale-santosh-tanaji
HAV RUDAL PRASAD,Hav ,Rudal Prasad,rudal-prasad,Kirti Chakra,http://gallantryawards.gov.in/Awardee/rudal-prasad
HAV SARWAN SINGH,Hav ,Sarwan Singh,sarwan-singh-0,Kirti Chakra,http://gallantryawards.gov.in/Awardee/sarwan-singh-0
HAV SHIV NARAYAN SINGH,Hav ,Shiv Narayan Singh,shiv-narayan-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/shiv-narayan-singh
HAV SHIVAJI KRISHNA PATIL,Hav ,Shivaji Krishna Patil,shivaji-krishna-patil,Kirti Chakra,http://gallantryawards.gov.in/Awardee/shivaji-krishna-patil
HAV Varghese Mathew,Hav ,Varghese Mathew,varghese-mathew,Kirti Chakra,http://gallantryawards.gov.in/Awardee/varghese-mathew
HAZARI,,Hazari,hazari,Kirti Chakra,http://gallantryawards.gov.in/Awardee/hazari
IMTI MAYANG,,Imti Mayang,imti-mayang,Kirti Chakra,http://gallantryawards.gov.in/Awardee/imti-mayang
JAI RAM,,Jai Ram,jai-ram,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jai-ram
JASHODA PAL,,Jashoda Pal,jashoda-pal,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jashoda-pal
JEM KULWANT SINGH,Jem ,Kulwant Singh,kulwant-singh-0,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kulwant-singh-0
JEM SHAM BAHADUR SINGH,Jem ,Sham Bahadur Singh,sham-bahadur-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/sham-bahadur-singh
JEM SHEO PUJAN SINGH,Jem ,Sheo Pujan Singh,sheo-pujan-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/sheo-pujan-singh
JIA LAL GUPTA,,Jia Lal Gupta,jia-lal-gupta,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jia-lal-gupta
KALLOO,,Kalloo,kalloo,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kalloo
KANWAR LAL SAREEN,,Kanwar Lal Sareen,kanwar-lal-sareen,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kanwar-lal-sareen
KASHIRAM SINGH,,Kashiram Singh,kashiram-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kashiram-singh
KAYUM KHAN,,Kayum Khan,kayum-khan,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kayum-khan
KEDARNATH,,Kedarnath,kedarnath,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kedarnath
KIRPAL SINGH DHINGRA,,Kirpal Singh Dhingra,kirpal-singh-dhingra,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kirpal-singh-dhingra
KURPATI,,Kurpati,kurpati,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kurpati
L/HAV JORA SINGH,L/hav ,Jora Singh,jora-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jora-singh
"L/HAV NEK SINGH, SC","L/hav , Sc",Nek Singh,nek-singh-sc,Kirti Chakra,http://gallantryawards.gov.in/Awardee/nek-singh-sc
L/NK ATTAR SINGH,L/nk ,Attar Singh,attar-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/attar-singh
L/NK CHARAN SINGH,L/nk ,Charan Singh,charan-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/charan-singh
L/NK HOSHIAR SINGH,L/nk ,Hoshiar Singh,hoshiar-singh-2,Kirti Chakra,http://gallantryawards.gov.in/Awardee/hoshiar-singh-2
L/NK JAGJIT SINGH,L/nk ,Jagjit Singh,jagjit-singh-0,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jagjit-singh-0
L/NK JITENDRA BISWAS,L/nk ,Jitendra Biswas,jitendra-biswas,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jitendra-biswas
L/NK KARNA BAHADUR GURUNG,L/nk ,Karna Bahadur Gurung,karna-bahadur-gurung-0,Kirti Chakra,http://gallantryawards.gov.in/Awardee/karna-bahadur-gurung-0
L/NK MAHAVEER SINGH RAJPUT,L/nk ,Mahaveer Singh Rajput,mahaveer-singh-rajput,Kirti Chakra,http://gallantryawards.gov.in/Awardee/mahaveer-singh-rajput
L/NK PANDIT MANE,L/nk ,Pandit Mane,pandit-mane,Kirti Chakra,http://gallantryawards.gov.in/Awardee/pandit-mane
L/NK RAM CHANDER BHATT,L/nk ,Ram Chander Bhatt,ram-chander-bhatt,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ram-chander-bhatt
L/NK RAMESH SINGH,L/nk ,Ramesh Singh,ramesh-singh-1,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ramesh-singh-1
L/NK RAN BAHADUR GURUNG,L/nk ,Ran Bahadur Gurung,ran-bahadur-gurung,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ran-bahadur-gurung
L/NK RAVI SINGH,L/nk ,Ravi Singh,ravi-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ravi-singh
L/NK SOHANVIR,L/nk ,Sohanvir,sohanvir,Kirti Chakra,http://gallantryawards.gov.in/Awardee/sohanvir
Late Ajay Singh Pathani,Late ,Ajay Singh Pathani,late-ajay-singh-pathani,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-ajay-singh-pathani
Late Ajay Singh Pathania,Late ,Ajay Singh Pathania,late-ajay-singh-pathania,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-ajay-singh-pathania
Late Arun Raghonath Chitte,Late ,Arun Raghonath Chitte,late-arun-raghonath-chitte,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-arun-raghonath-chitte
Late Bhopal Singh,Late ,Bhopal Singh,late-bhopal-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-bhopal-singh
Late Constable Bhrigunandan Choudhary,Late Constable ,Bhrigunandan Choudhary,late-constable-bhrigunandan-choudhary,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-constable-bhrigunandan-choudhary
Late Constable Gautam Koch,Late Constable ,Gautam Koch,late-constable-gautam-koch,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-constable-gautam-koch
Late Lohit Sonowal,Late ,Lohit Sonowal,late-lohit-sonowal,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-lohit-sonowal
Late Mohan Chand Sharma,Late ,Mohan Chand Sharma,late-mohan-chand-sharma-0,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-mohan-chand-sharma-0
Late Mukesh Bhikaji Jadhav,Late ,Mukesh Bhikaji Jadhav,late-mukesh-bhikaji-jadhav,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-mukesh-bhikaji-jadhav
Late Nitya Nanda Bora,Late ,Nitya Nanda Bora,late-nitya-nanda-bora,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-nitya-nanda-bora
Late Rel D.Sangma,Late ,Rel D.Sangma,late-rel-dsangma,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-rel-dsangma
Late Roop Singh,Late ,Roop Singh,late-roop-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-roop-singh
Late Shashank Chandrasen Shinde,Late ,Shashank Chandrasen Shinde,late-shashank-chandrasen-shinde,Kirti Chakra,http://gallantryawards.gov.in/Awardee/late-shashank-chandrasen-shinde
Lieutenant Commander ABHILASH TOMY,Lieutenant Commander ,Abhilash Tomy,abhilash-tomy,Kirti Chakra,http://gallantryawards.gov.in/Awardee/abhilash-tomy
LT COL ISRAR RAHIM KHAN,Lt Col ,Israr Rahim Khan,israr-rahim-khan,Kirti Chakra,http://gallantryawards.gov.in/Awardee/israr-rahim-khan
LT COL JAMSHED BHURJORJI DORABJI,Lt Col ,Jamshed Bhurjorji Dorabji,jamshed-bhurjorji-dorabji,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jamshed-bhurjorji-dorabji
LT COL JASWANT SINGH,Lt Col ,Jaswant Singh,jaswant-singh-2,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jaswant-singh-2
LT COL KAMALDEEP SINGH,Lt Col ,Kamaldeep Singh,kamaldeep-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kamaldeep-singh
LT COL MANISH SHASHIKANT KADAM,Lt Col ,Manish Shashikant Kadam,manish-shashikant-kadam,Kirti Chakra,http://gallantryawards.gov.in/Awardee/manish-shashikant-kadam
"LT COL NECTAR SANJENBAM, SC","Lt Col , Sc",Nectar Sanjenbam,nectar-sanjenbam-sc,Kirti Chakra,http://gallantryawards.gov.in/Awardee/nectar-sanjenbam-sc
LT COL OSIRIS DAS,Lt Col ,Osiris Das,osiris-das,Kirti Chakra,http://gallantryawards.gov.in/Awardee/osiris-das
LT COL PANKAJ KUMAR,Lt Col ,Pankaj Kumar,pankaj-kumar,Kirti Chakra,http://gallantryawards.gov.in/Awardee/pankaj-kumar
LT COL RAMA PRASAD SINH,Lt Col ,Rama Prasad Sinh,rama-prasad-sinh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/rama-prasad-sinh
LT COL SATYA SWAROOP SHARMA,Lt Col ,Satya Swaroop Sharma,satya-swaroop-sharma,Kirti Chakra,http://gallantryawards.gov.in/Awardee/satya-swaroop-sharma
"LT COL SAURABH SINGH SHEKHAWAT, SC, SM, VSM","Lt Col , Sc, Sm, Vsm",Saurabh Singh Shekhawat,saurabh-singh-shekhawat-sc-sm-vsm,Kirti Chakra,http://gallantryawards.gov.in/Awardee/saurabh-singh-shekhawat-sc-sm-vsm
LT COL SUNIL KUMAR RAZDAN,Lt Col ,Sunil Kumar Razdan,sunil-kumar-razdan,Kirti Chakra,http://gallantryawards.gov.in/Awardee/sunil-kumar-razdan
LT COL TEJINDAR SINGH,Lt Col ,Tejindar Singh,tejindar-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/tejindar-singh
LT DHEERENDRA SINGH ATRI,Lt ,Dheerendra Singh Atri,dheerendra-singh-atri,Kirti Chakra,http://gallantryawards.gov.in/Awardee/dheerendra-singh-atri
LT KANAVDEEP SINGH,Lt ,Kanavdeep Singh,kanavdeep-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kanavdeep-singh
LT MAYEKAR NARENDRA ATMARAM,Lt ,Mayekar Narendra Atmaram,mayekar-narendra-atmaram,Kirti Chakra,http://gallantryawards.gov.in/Awardee/mayekar-narendra-atmaram
LT NATARAJAN PARTHIBAN,Lt ,Natarajan Parthiban,natarajan-parthiban,Kirti Chakra,http://gallantryawards.gov.in/Awardee/natarajan-parthiban
LT RAVINDER CHHIKARA,Lt ,Ravinder Chhikara,ravinder-chhikara,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ravinder-chhikara
LT SUSHIL KHAJURIA,Lt ,Sushil Khajuria,sushil-khajuria,Kirti Chakra,http://gallantryawards.gov.in/Awardee/sushil-khajuria
LT VIKAS SHARMA,Lt ,Vikas Sharma,vikas-sharma,Kirti Chakra,http://gallantryawards.gov.in/Awardee/vikas-sharma
LT VIKRANT AJIT DESHMUKH,Lt Vikrant Ajit Deshmukh,Vikrant Ajit hmukh,vikrant-ajit-deshmukh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/vikrant-ajit-deshmukh
MAHADEO SINGH,,Mahadeo Singh,mahadeo-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/mahadeo-singh
MAHENDRA NARAIN SINGH,,Mahendra Narain Singh,mahendra-narain-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/mahendra-narain-singh
"MAJ AJAY KOTHIYAL, SC","Maj , Sc",Ajay Kothiyal,ajay-kothiyal-sc,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ajay-kothiyal-sc
MAJ AJAY NATH BAHUGUNA,Maj ,Ajay Nath Bahuguna,ajay-nath-bahuguna,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ajay-nath-bahuguna
MAJ AMAR SEN,Maj ,Amar Sen,amar-sen,Kirti Chakra,http://gallantryawards.gov.in/Awardee/amar-sen
MAJ AMIT OSCAR FERNANDES,Maj des,Amit Oscar Fernan,amit-oscar-fernandes,Kirti Chakra,http://gallantryawards.gov.in/Awardee/amit-oscar-fernandes
MAJ ANUP JOSEPH MANJALI,Maj ,Anup Joseph Manjali,anup-joseph-manjali,Kirti Chakra,http://gallantryawards.gov.in/Awardee/anup-joseph-manjali
MAJ ANURAG NAURIYAL,Maj ,Anurag Nauriyal,anurag-nauriyal,Kirti Chakra,http://gallantryawards.gov.in/Awardee/anurag-nauriyal
MAJ ASHOK KUMAR SAHRAWAT,Maj ,Ashok Kumar Sahrawat,ashok-kumar-sahrawat,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ashok-kumar-sahrawat
"MAJ ASHOK KUMAR SINGH, SM","Maj , Sm",Ashok Kumar Singh,ashok-kumar-singh-sm,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ashok-kumar-singh-sm
MAJ AVINASH SINGH BHADAURIA,Maj ,Avinash Singh Bhadauria,avinash-singh-bhadauria,Kirti Chakra,http://gallantryawards.gov.in/Awardee/avinash-singh-bhadauria
MAJ BRAJ KISHORE SHARMA,Maj ,Braj Kishore Sharma,braj-kishore-sharma,Kirti Chakra,http://gallantryawards.gov.in/Awardee/braj-kishore-sharma
MAJ DEEPAK MEHRA,Maj ,Deepak Mehra,deepak-mehra,Kirti Chakra,http://gallantryawards.gov.in/Awardee/deepak-mehra
MAJ DEEPAK TEWARI,Maj ,Deepak Tewari,deepak-tewari,Kirti Chakra,http://gallantryawards.gov.in/Awardee/deepak-tewari
MAJ DENZIL HERBERT D'CRUZ,Maj ,Denzil Herbert D'cruz,denzil-herbert-dcruz,Kirti Chakra,http://gallantryawards.gov.in/Awardee/denzil-herbert-dcruz
MAJ DWARKA NATH KANWARPAL,Maj ,Dwarka Nath Kanwarpal,dwarka-nath-kanwarpal,Kirti Chakra,http://gallantryawards.gov.in/Awardee/dwarka-nath-kanwarpal
MAJ GEN SHANKARRAO PANDURUNG PATIL THORAT,Maj ,Gen Shankarrao Pandurung Patil Thorat,shankarrao-pandurung-patil-thorat,Kirti Chakra,http://gallantryawards.gov.in/Awardee/shankarrao-pandurung-patil-thorat
MAJ GURCHARAN SINGH,Maj ,Gurcharan Singh,gurcharan-singh-0,Kirti Chakra,http://gallantryawards.gov.in/Awardee/gurcharan-singh-0
MAJ HITESH KUMAR PALTA,Maj ,Hitesh Kumar Palta,hitesh-kumar-palta,Kirti Chakra,http://gallantryawards.gov.in/Awardee/hitesh-kumar-palta
MAJ INDER SINGH RAWAT,Maj ,Inder Singh Rawat,inder-singh-rawat,Kirti Chakra,http://gallantryawards.gov.in/Awardee/inder-singh-rawat
MAJ INDERJEET SINGH BABBAR,Maj ,Inderjeet Singh Babbar,inderjeet-singh-babbar,Kirti Chakra,http://gallantryawards.gov.in/Awardee/inderjeet-singh-babbar
MAJ IVAN JOSEPH CRASTO,Maj ,Ivan Joseph Crasto,ivan-joseph-crasto,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ivan-joseph-crasto
"MAJ JAI BAHUGUNA, SM,VSM","Maj Jai Bahuguna, Sm,vsm","Jai Bahuguna,vsm",jai-bahuguna-smvsm,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jai-bahuguna-smvsm
MAJ JAMES THOMAS,Maj ,James Thomas,james-thomas,Kirti Chakra,http://gallantryawards.gov.in/Awardee/james-thomas
MAJ JOGINDER SINGH TANWAR,Maj ,Joginder Singh Tanwar,joginder-singh-tanwar,Kirti Chakra,http://gallantryawards.gov.in/Awardee/joginder-singh-tanwar
MAJ KRISHNA MURTHY BALASUBRAMANIAM,Maj ,Krishna Murthy Balasubramaniam,krishna-murthy-balasubramaniam,Kirti Chakra,http://gallantryawards.gov.in/Awardee/krishna-murthy-balasubramaniam
MAJ KUMANDUR PRABHAKAR VINAY,Maj ,Kumandur Prabhakar Vinay,kumandur-prabhakar-vinay,Kirti Chakra,http://gallantryawards.gov.in/Awardee/kumandur-prabhakar-vinay
"MAJ MAHAVIR SINGH BALHARA, SM","Maj , Sm",Mahavir Singh Balhara,mahavir-singh-balhara-sm,Kirti Chakra,http://gallantryawards.gov.in/Awardee/mahavir-singh-balhara-sm
"MAJ MAHESH KUMAR,SM","Maj ,sm",Mahesh Kumar,mahesh-kumarsm,Kirti Chakra,http://gallantryawards.gov.in/Awardee/mahesh-kumarsm
MAJ MANISH HIRAJI PITAMBARE,Maj ,Manish Hiraji Pitambare,manish-hiraji-pitambare,Kirti Chakra,http://gallantryawards.gov.in/Awardee/manish-hiraji-pitambare
MAJ MOHINDER SINGH KADYAN,Maj ,Mohinder Singh Kadyan,mohinder-singh-kadyan,Kirti Chakra,http://gallantryawards.gov.in/Awardee/mohinder-singh-kadyan
MAJ MOHINDER SINGH PATHANIA,Maj ,Mohinder Singh Pathania,mohinder-singh-pathania,Kirti Chakra,http://gallantryawards.gov.in/Awardee/mohinder-singh-pathania
MAJ NEELAKANTAN JAYACHANDRAN NAIR,Maj ,Neelakantan Jayachandran Nair,neelakantan-jayachandran-nair,Kirti Chakra,http://gallantryawards.gov.in/Awardee/neelakantan-jayachandran-nair
"MAJ NUNGLEPPAM BUDDHIMANTA SINGH, SM","Maj , Sm",Nungleppam Buddhimanta Singh,nungleppam-buddhimanta-singh-sm,Kirti Chakra,http://gallantryawards.gov.in/Awardee/nungleppam-buddhimanta-singh-sm
MAJ PADMANABHAN SRIKUMAR,Maj ,Padmanabhan Srikumar,padmanabhan-srikumar,Kirti Chakra,http://gallantryawards.gov.in/Awardee/padmanabhan-srikumar
MAJ PARAYIL BHASKARAN,Maj ,Parayil Bhaskaran,parayil-bhaskaran,Kirti Chakra,http://gallantryawards.gov.in/Awardee/parayil-bhaskaran
MAJ PRADEEP R TATHAWADE,Maj ,Pradeep R Tathawade,pradeep-r-tathawade,Kirti Chakra,http://gallantryawards.gov.in/Awardee/pradeep-r-tathawade
"MAJ PREM CHAND, VSM","Maj , Vsm",Prem Chand,prem-chand-vsm,Kirti Chakra,http://gallantryawards.gov.in/Awardee/prem-chand-vsm
MAJ PUSHPENDER SINGH,Maj ,Pushpender Singh,pushpender-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/pushpender-singh
MAJ RAHUL GURUNG,Maj ,Rahul Gurung,rahul-gurung,Kirti Chakra,http://gallantryawards.gov.in/Awardee/rahul-gurung
MAJ RAJINDER KUMAR SHARMA,Maj ,Rajinder Kumar Sharma,rajinder-kumar-sharma-0,Kirti Chakra,http://gallantryawards.gov.in/Awardee/rajinder-kumar-sharma-0
MAJ RAM SINGH SAHARAN,Maj ,Ram Singh Saharan,ram-singh-saharan,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ram-singh-saharan
MAJ RAMAN DADA,Maj ,Raman Dada,raman-dada,Kirti Chakra,http://gallantryawards.gov.in/Awardee/raman-dada
